"","YEAR","COMPANY","PRICE","Sell","VOLUME","MARKET CAP","EARNINGS","COGS","SALES","CASH","INVESTMENTS","RECEIVABLE","INVENTORY","DEBTS"
"1",2021,"A",127.690002,0,303440000,38746254206.88,7.19e+08,2.502e+09,5.339e+09,1.441e+09,0,1.038e+09,7.2e+08,7.5e+07
"2",2021,"AAL",23.860001,0,641380000,15303327441.38,-8.885e+09,2.4933e+10,1.7337e+10,2.45e+08,6.619e+09,1.342e+09,1.614e+09,2.797e+09
"3",2021,"AAP",185.960007,0,65440000,12169222858.08,493021000,5624707000,10106321000,834992000,0,749999000,4538199000,0
"4",2021,"AAPL",123,0,1.669e+10,2.05287e+12,5.7411e+10,1.69559e+11,2.74515e+11,3.8016e+10,5.2927e+10,3.7445e+10,4.061e+09,1.3769e+10
"5",2021,"ABBV",108.519997,0,1.77e+09,192080394690,4.616e+09,1.5387e+10,4.5804e+10,8.449e+09,3e+07,8.822e+09,3.31e+09,8.502e+09
"6",2021,"ABC",116.889999,0,207410000,24244154692.59,-3408716000,184702042000,189893926000,4597746000,0,14334729000,12589278000,501259000
"7",2021,"ABMD",315.339996,0,45300000,14284901818.8,225525000,161907000,847522000,232710000,350985000,97179000,81059000,0
"8",2021,"ABT",118.940002,0,1.78e+09,211713203560,4.495e+09,1.5003e+10,3.4608e+10,6.838e+09,3.1e+08,6.414e+09,5.012e+09,2.2e+08
"9",2021,"ACN",278.339996,0,634140000,176506525063.44,5107839000,30350881000,44327039000,8415330000,94309000,7846892000,0,7820000
"10",2021,"ADBE",483.339996,0,4.78e+08,231036518088,5.26e+09,1.722e+09,1.2868e+10,4.478e+09,1.514e+09,1.398e+09,0,0
"11",2021,"ADI",160.380005,0,368830000,59152957244.15,1220761000,1912578000,5603056000,1055860000,0,737536000,608260000,0
"12",2021,"ADM",57.650002,0,558700000,32209056117.4,1.772e+09,5.9902e+10,6.4355e+10,6.66e+08,0,4.984e+09,1.1713e+10,2.044e+09
"13",2021,"ADP",189.399994,0,425520000,80593485446.88,2466500000,8445100000,14589800000,1908500000,0,2441300000,0,1001800000
"14",2021,"ADSK",283.899994,0,220010000,62460837679.94,1208200000,337100000,3790400000,1772200000,8.5e+07,643100000,0,0
"15",2021,"AEE",81.029999,0,255550000,20707216244.45,8.71e+08,2.936e+09,5.794e+09,1.39e+08,0,7.49e+08,5.21e+08,4.98e+08
"16",2021,"AEP",85.540001,0,499750000,42748615499.75,2200100000,5380100000,14918500000,392700000,200800000,2.028e+09,1.31e+09,4565400000
