"","YEAR","COMPANY","PRICE","Sell","VOLUME","MARKET CAP","EARNINGS","COGS","SALES","CASH","INVESTMENTS","RECEIVABLE","INVENTORY","DEBTS","Name","Sector","CPALTT01USM657N_PC1","GDP","GDP_PC1","T10Y2Y","M1SL_PC1","M1SL","Earnings_next_year","PROFIT"
"1",2021,"AAPL",123,0,1.669e+10,2.05287e+12,5.7411e+10,1.69559e+11,2.74515e+11,3.8016e+10,5.2927e+10,3.7445e+10,4.061e+09,1.3769e+10,"Apple","Information Technology","#N/A","#N/A","#N/A",1.2,"#N/A","#N/A",NA,-100
"2",2020,"AAPL",60.227501,128.610001,17352119000,1045074764424.62,5.5256e+10,1.61782e+11,2.60174e+11,4.8844e+10,5.1713e+10,4.5804e+10,4.106e+09,1.624e+10,"Apple","Information Technology","-39.9","20893.746","-2.2",0.5,"232.8","12792.9",5.7411e+10,113.540324377729
"3",2019,"AAPL",47.810001,75.472499,18471336000,883114592631.336,5.9531e+10,1.63756e+11,2.65595e+11,2.5913e+10,4.0388e+10,4.8995e+10,3.956e+09,2.0748e+10,"Apple","Information Technology","19.3","21372.582","4.1",0.2,"4.5","3844.3",5.5256e+10,57.85922907636
"4",2018,"AAPL",41.669998,44.4725,19821508000,825962198716.984,4.8351e+10,1.41048e+11,2.29234e+11,2.0289e+10,5.3892e+10,3.5673e+10,4.855e+09,1.8473e+10,"Apple","Information Technology","-9.3","20527.159","5.4",0.4,"4.4","3680.4",5.9531e+10,6.72546708545558
"5",2017,"AAPL",35.924999,44.38,20868968000,749717654531.032,4.5687e+10,1.31376e+11,2.15639e+11,2.0484e+10,4.6671e+10,2.9299e+10,2.132e+09,1.1605e+10,"Apple","Information Technology","1.7","19479.623","4.2",0.9,"8.5","3523.9",4.8351e+10,23.5351460970117
"6",2016,"AAPL",27.497499,35.517498,21883280000,601735469916.72,5.3394e+10,1.40089e+11,2.33715e+11,2.112e+10,2.0481e+10,3.0343e+10,2.349e+09,1.0999e+10,"Apple","Information Technology","180.4","18695.106","2.7",1,"7.5","3248.5",4.5687e+10,29.1662852683439
"7",2015,"AAPL",31.0625,25.6525,23013684000,714862559250,3.951e+10,1.12258e+11,1.82795e+11,1.3844e+10,1.1233e+10,2.7219e+10,2.111e+09,6.308e+09,"Apple","Information Technology","-3.7","18206.024","3.7",1.5,"7.3","3021.8",5.3394e+10,-17.4164989939638
"8",2014,"AAPL",19.344643,32.742499,24342288000,470892871163.184,3.7037e+10,1.06606e+11,1.7091e+11,1.4259e+10,2.6287e+10,2.0641e+10,1.764e+09,0,"Apple","Information Technology","-49.1","17550.688","4.2",2.1,"10.4","2815.1",3.951e+10,69.2587400036279
"9",2013,"AAPL",15.318214,19.284288,25909268000,396883711807.352,4.1733e+10,8.7846e+10,1.56508e+11,1.0746e+10,1.8383e+10,1.8692e+10,7.91e+08,0,"Apple","Information Technology","-13.8","16843.196","3.6",2,"10.1","2549.6",3.7037e+10,25.8912298783657
"10",2012,"AAPL",22.09393,15.65786,26174904000,578306470558,2.5922e+10,6.4431e+10,1.08249e+11,9.815e+09,1.6137e+10,1.1717e+10,7.76e+08,0,"Apple","Information Technology","-40.8","16253.970","4.2",1.5,"15.2","2315.3",4.1733e+10,-29.1304896865338
"11",2011,"AAPL",12.30571,19.44536,25879224000,318462329086,1.4013e+10,3.9541e+10,6.5225e+10,1.1261e+10,1.4359e+10,9.924e+09,1.051e+09,0,"Apple","Information Technology","97.1","15599.732","3.7",2.3,"15.4","2010.2",2.5922e+10,58.0190009353382
"12",2010,"AAPL",8.4275,12.47536,25464908000,214605512170,5.704e+09,2.3397e+10,3.6537e+10,5.263e+09,1.8201e+10,5.057e+09,4.55e+08,0,"Apple","Information Technology","-44.8","15048.970","3.9",2.5,"6.4","1742.6",1.4013e+10,48.0315633343222
"13",2009,"AAPL",3.881786,7.463929,25004448000,97061916184,4.834e+09,2.1334e+10,3.2479e+10,1.1875e+10,1.2615e+10,4.704e+09,5.09e+08,0,"Apple","Information Technology","1843.6","14478.067","-2.0",2.3,"14.2","1638.1",5.704e+09,92.2807954894989
"14",2008,"AAPL",5.340357,3.140714,24684576000,131824448234,3.496e+09,1.5852e+10,2.4006e+10,9.352e+09,6.034e+09,4.029e+09,3.46e+08,0,"Apple","Information Technology","-96.5","14769.862","2.0",1.7,"4.5","1434.7",4.834e+09,-41.1890628285712
"15",2007,"AAPL",3.344643,4.3475,24208660000,80969325208,1.989e+09,1.3717e+10,1.9315e+10,6.392e+09,3.718e+09,2.845e+09,2.7e+08,0,"Apple","Information Technology","59.1","14474.227","4.8",0.3,"-0.2","1373.1",3.496e+09,29.9839773632044
"16",2006,"AAPL",2.2375,3.109286,23633624000,52880233700,1.335e+09,9.888e+09,1.3931e+10,3.491e+09,4.77e+09,1.312e+09,1.65e+08,0,"Apple","Information Technology","-25.4","13815.583","6.0",0,"0.2","1375.2",1.989e+09,38.9625027932961
"17",2005,"AAPL",1.460357,2.467857,22636292000,33057067476,2.76e+08,6.02e+09,8.279e+09,2.969e+09,2.495e+09,1.05e+09,1.01e+08,0,"Apple","Information Technology","5.2","13039.197","6.7",0.4,"2.1","1372.2",1.335e+09,68.9899798473935
"18",2004,"AAPL",0.484107,1.589286,20809040000,10073801927,6.9e+07,4.499e+09,6.207e+09,3.396e+09,1.17e+09,9.5e+08,5.6e+07,3.04e+08,"Apple","Information Technology","71.8","12217.196","6.6",1.9,"5.5","1344.6",2.76e+08,228.29229901654
"19",2003,"AAPL",0.252857,0.428929,20195336000,5106532075,6.5e+07,4.139e+09,5.742e+09,2.252e+09,2.085e+09,5.65e+08,4.5e+07,0,"Apple","Information Technology","-20.6","11456.450","4.8",2.4,"6.5","1274.1",6.9e+07,69.6330336909795
"20",2002,"AAPL",0.436786,0.261607,19881232000,8683843800,-2.5e+07,4.128e+09,5.363e+09,2.31e+09,2.026e+09,4.66e+08,1.1e+07,0,"Apple","Information Technology","52.1","10929.108","3.3",2,"4.9","1196.7",6.5e+07,-40.1063678780913
"21",2001,"AAPL",0.385536,0.41875,19354328000,7461790200,7.86e+08,5.817e+09,7.983e+09,1.191e+09,2.836e+09,9.53e+08,3.3e+07,0,"Apple","Information Technology","-53.7","10581.929","3.2",1.2,"3.3","1140.2",-2.5e+07,8.61501909030545
"22",2000,"AAPL",1.19029,0.334821,18175808000,21634482504,6.01e+08,4.438e+09,6.134e+09,1.326e+09,1.9e+09,6.81e+08,2e+07,0,"Apple","Information Technology","25.8","10250.952","6.4",-0.2,"0.1","1103.7",7.86e+08,-71.8706365675592
"23",1999,"AAPL",0.321987,1.163504,16033584000,5162605611,3.09e+08,4.462e+09,5.941e+09,1.481e+09,8.19e+08,9.55e+08,7.8e+07,0,"Apple","Information Technology","65.9","9631.127","6.3",0.2,"2.0","1102.3",6.01e+08,261.351234677176
"24",2021,"ACN",278.339996,0,634140000,176506525063.44,5107839000,30350881000,44327039000,8415330000,94309000,7846892000,0,7820000,"Accenture","Information Technology","#N/A","#N/A","#N/A",1.2,"#N/A","#N/A",NA,-100
"25",2020,"ACN",154.679993,261.520004,636299913,98422866088.7406,4779112000,29900325000,43215013000,6126853000,3313000,8095071000,0,6411000,"Accenture","Information Technology","-39.9","20893.746","-2.2",0.5,"232.8","12792.9",5107839000,69.0716419931568
"26",2019,"ACN",176.320007,192.610003,638098125,112509465866.687,4059907000,29160515000,41603428000,5061360000,3192000,7496368000,0,5337000,"Accenture","Information Technology","19.3","21372.582","4.1",0.2,"4.5","3844.3",4779112000,9.23888121215875
